author,title,journal,volume,number,pages,year,doi,URL,eprint,notes,contributor_id,date_created,date_updated,publication_id
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"unpublished work",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",1
"Meylan, G., and Reck, B.K.","The anthropogenic cycle of zinc - Status quo and perspectives","Res. Conserv. Recy.",NULL,NULL,NULL,2016,10.1016/j.resconrec.2016.01.006,https://doi.org/10.1016/j.resconrec.2016.01.006,https://doi.org/10.1016/j.resconrec.2016.01.006,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",2
"Graedel, T.E., van Beers, D., Bertram, M., Fuse, K., Gordon, R.B., Gritsinin, A., Harper, E.M., Kapur, A., Klee, R.J., Lifset, R.J., Memon, L., and Spatari, S.","The Multilevel Cycle of Anthropogenic Zinc","J. Ind. Ecol.",9,3,67-90,2005,10.1162/1088198054821573,https://doi.org/10.1162/1088198054821573,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",3
"Graedel, T.E., and Cao, J.","Metal spectra as indicators of development","Proc. Natl. Acad. Sci. USA",107,49,20905-20910,2010,10.1073/pnas.1011019107,https://doi.org/10.1073/pnas.1011019107,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",4
"Central Intelligence Agency; United States Government","The World Factbook",NULL,NULL,NULL,NULL,2016,NULL,https://www.cia.gov/library/publications/the-world-factbook/,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",5
"United Nations Statistics Division","United Nations commodity trade statistics database",NULL,NULL,NULL,NULL,2010,NULL,http://comtrade.un.org/db,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",6
"Johnson, J., and Graedel, T.E.","The 'Hidden' Trade of Metals in the United States","J. Ind. Ecol.",12,(5-6),739-753,2008,10.1111/j.1530-9290.2008.00092.x,https://doi.org/10.1111/j.1530-9290.2008.00092.x,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",7
"Rauch, J.N.","Global mapping of Al, Cu, Fe and Zn in-use stocks and in-ground resources","Proc. Natl. Acad. Sci. USA",106,45,18920-18925,2009,10.1073/pnas.0900658106,https://doi.org/10.1073/pnas.0900658106,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",8
"van Beers, D., and Graedel, T.E.","The Magnitude and Spatial Distribution of In-Use Zinc Stocks in Cape Town, South Africa","Afr. J. Environ. Assess. Manage.",9,NULL,18-36,2004,NULL,https://www.researchgate.net/publication/266142508_The_Magnitude_and_Spatial_Distribution_of_In-use_Zinc_Stocks_in_Cape_Town_South_Africa,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",9
"van Beers, D., and Graedel, T.E.","Spatial characterisation of multi-level in-use copper and zinc stocks in Australia","J. Clean. Prod.",15,(8-9),849-861,2007,10.1016/j.jclepro.2006.06.022,https://doi.org/10.1016/j.jclepro.2006.06.022,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",10
"Wang, T., Mao, J., Johnson, J., Reck, B.K., and Graedel, T.E.","Anthropogenic metal cycles in China","J. Mater. Cycles Waste Manag.",10,NULL,188-197,2008,10.1007/s10163-008-0203-7,https://doi.org/10.1007/s10163-008-0203-7,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",11
"Johnson, J., Jirikowic, J., Bertram, M., van Beers, D., Gordon, R.B., Henderson, K., Klee, R.J., Lanzano, T., Lifset, R., Oetjen, L., and Graedel, T.E.","Contemporary Anthropogenic Silver Cycle - A Multilevel Analysis","Environ. Sci. Technol.",39,NULL,4655-4665,2005,10.1021/es048319x,https://doi.org/10.1021/es048319x,NULL,"SI available",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",12
"Eckelman, M.J., and Graedel, T.E.","Silver Emissions and their Environmental Impacts - A Multilevel Assessment","Environ. Sci. Technol.",41,NULL,6283-6289,2007,10.1021/es062970d,https://doi.org/10.1021/es062970d,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",13
"Gerst, M.D., and Graedel, T.E.","In-Use Stocks of Metals - Status and Implications","Environ. Sci. Technol.",42,19,7038-7045,2008,10.1021/es800420p,https://doi.org/10.1021/es800420p,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",14
"Johnson, J., Bertram, M., Henderson, K., Jirikowic, J., and Graedel, T.E.","The contemporary Asian silver cycle - 1-year stocks and flows","J. Mater. Cycles Waste Manag.",7,NULL,93-103,2005,10.1007/s10163-005-0132-7,https://doi.org/10.1007/s10163-005-0132-7,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",15
"Lanzano, T., Bertram, M., De Palo, M., Wagner, C., Zyla, K., and Graedel, T.E.","The contemporary European silver cycle","Res. Conserv. Recy.",46,NULL,27-43,2006,10.1016/j.resconrec.2005.06.003,https://doi.org/10.1016/j.resconrec.2005.06.003,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",16
"Rauch, J.N., and Pacyna, J.M.","Earth's global Ag, Al, Cr, Cu, Fe, Ni, Pb, and Zn cycles","Global Biogeochem. Cycles",23,NULL,GB2001,2009,10.1029/2008GB003376,https://doi.org/10.1029/2008GB003376,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",17
"Harper, E.M., Kavlak, G., and Graedel, T.E.","Tracking the Metal of the Goblins - Cobalt's Cycle of Use","Environ. Sci. Technol.",46,NULL,1079-1086,2012,10.1021/es201874e,https://doi.org/10.1021/es201874e,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",18
"Bertram, M., Graedel, T.E., Rechberger, H., and Spatari, S.","The contemporary European copper cycle - waste management subsystem","Ecol. Econ.",42,NULL,43-57,2002,10.1016/S0921-8009(02)00100-3,https://doi.org/10.1016/S0921-8009(02)00100-3,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",19
"Drakonakis, K., Rostkowski, K., Rauch, J., Graedel, T.E., and Gordon, R.B.","Metal capital sustaining a North American city - Iron and copper in New Haven, CT","Res. Conserv. Recy.",49,NULL,406-420,2007,10.1016/j.resconrec.2006.05.005,https://doi.org/10.1016/j.resconrec.2006.05.005,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",20
"Gordon, R.B.","Production residues in copper technological cycles","Res. Conserv. Recy.",36,NULL,87-106,2002,10.1016/S0921-3449(02)00019-8,https://doi.org/10.1016/S0921-3449(02)00019-8,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",21
"Graedel, T.E., van Beers, D., Bertram, M., Fuse, K., Gordon, R.B., Gritsinin, A., Kapur, A., Klee, R.J., Lifset, R.J., Memon, L., Rechberger, H., Spatari, S., and Vexler, D.","Multilevel cycle of anthropogenic copper","Environ. Sci. Technol.",38,NULL,1242-1252,2004,10.1021/es030433c,https://doi.org/10.1021/es030433c,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",22
"Rauch, J.N., and Graedel, T.E.","Earth's anthrobiogeochemical copper cycle","Global Biogeochem. Cycles",21,NULL,GB2010,2007,10.1029/2006GB002850,https://doi.org/10.1029/2006GB002850,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",23
"Rauch, J.N., Eckelman, M., and Gordon, R.","Copper in-use stock and copper scrap in the state of Connecticut, USA",NULL,NULL,NULL,NULL,2007,NULL,http://environment.yale.edu/publication-series/4991.html,NULL,"Yale F&ES Publication Series: Report Number 10",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",24
"Spatari, S., Bertram, M., Fuse, K., Graedel, T.E., and Rechberger, H.","The contemporary European copper cycle - 1 year stocks and flows","Ecol. Econ.",42,NULL,27-42,2002,10.1016/S0921-8009(02)00103-9,https://doi.org/10.1016/S0921-8009(02)00103-9,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",25
"Spatari, S., Bertram, M., Gordon, R.B., Henderson, K., and Graedel, T.E.","Twentieth century copper stocks and flows in North America - A dynamic analysis","Ecol. Econ.",54,NULL,37-51,2005,10.1016/j.ecolecon.2004.11.018,https://doi.org/10.1016/j.ecolecon.2004.11.018,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",26
"van Beers, D., and Graedel, T.E.","The magnitude and spatial distribution of in-use copper stocks in Cape Town, South Africa","South Afr. J. Sci.",99,(1-2),"1-9",2003,NULL,http://hdl.handle.net/10520/EJC97582,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",27
"van Beers, D., Bertram, M., Fuse, K., Spatari, S., and Graedel, T.E.","The contemporary African copper cycle - One year stocks and flows","J. South Afr. Inst. Min. Metall.",103,3,147,2003,NULL,https://www.saimm.co.za/Journal/v103n03p147.pdf,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",28
"van Beers, D., van Berkel, R., and Graedel, T.E.","The application of material flow analysis for the evaluation of the recovery potential of secondary metals in Australia",NULL,NULL,NULL,NULL,2005,NULL,https://www.researchgate.net/publication/228548336_THE_APPLICATION_OF_MATERIAL_FLOW_ANALYSIS_FOR_THE_EVALUATION_OF_THE_RECOVERY_POTENTIAL_OF_SECONDARY_METALS_IN_AUSTRALIA,NULL,"4th Australian Life Cycle Assessment Conference; Sydney",1,"2019-02-04 14:46:57","2019-02-04 14:46:57",29
"van Beers, D., Kapur, A., and Graedel, T.E.","Copper and zinc recyclin in Australia - potential quantities and policy options","J. Clean. Prod.",15,NULL,862-877,2007,10.1016/j.jclepro.2006.06.023,https://doi.org/10.1016/j.jclepro.2006.06.023,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",30
"Vexler, D., Bertram, M., Kapur, A., Spatari, S., and Graedel, T.E.","The contemporary Latin American and Caribbean copper cycle - 1 year stocks and flows","Res. Conserv. Recy.",41,NULL,23-46,2004,10.1016/j.resconrec.2003.08.002,https://doi.org/10.1016/j.resconrec.2003.08.002,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",31
"Chen, W.-Q., and Graedel, T.E.","Dynamic analysis of aluminum stocks and flows in the United States - 1900-2009","Ecol. Econ.",81,NULL,92-102,2012,10.1016/j.ecolecon.2012.06.008,https://doi.org/10.1016/j.ecolecon.2012.06.008,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",32
"Wang J., and Graedel, T.E.","Aluminum in-use stocks in China - a bottom-up study","J. Mater. Cycles Waste Manag.",12,NULL,66-82,2010,10.1007/s10163-009-0271-3,https://doi.org/10.1007/s10163-009-0271-3,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",33
"Ciacci, L., Chen, W., Passarini, F., Eckelman, M., Vassura, I., and Morselli, L.","Historical evolution of anthropogenic aluminum stocks and flows in Italy","Res. Conserv. Recy.",72,NULL,"1-8",2013,10.1016/j.resconrec.2012.12.004,https://doi.org/10.1016/j.resconrec.2012.12.004,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",34
"Graedel, T.E., Harper, E.M., Nassar, N.T., Nuss, P., and Reck, B.K.","Criticality of metals and metalloids","Proc. Natl. Acad. Sci. USA",112,14,4257-4262,2015,10.1073/pnas.1500415112,https://doi.org/10.1073/pnas.1500415112,NULL,www.pnas.org/lookup/suppl/doi:10.1073/pnas.1500415112/-/DCSupplemental,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",35
"Harper, E.M., Bertram, M., and Graedel, T.E.","The contemporary Latin America and the Caribbean zinc cycle - One year stocks and flows","Res. Conserv. Recy.",47,NULL,82-100,2006,10.1016/j.resconrec.2005.10.005,https://doi.org/10.1016/j.resconrec.2005.10.005,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",36
"Mao, J.S., Dong, J., and Graedel, T.E.","The multilevel cycle of anthropogenic lead - II. Results and discussion","Res. Conserv. Recy.",52,NULL,1050-1057,2008,10.1016/j.resconrec.2008.04.005,https://doi.org/10.1016/j.resconrec.2008.04.005,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",37
"Mao, J., and Graedel, T.E.","Lead in-use stock - a dynamic analysis","J. Ind. Ecol.",13,1,112-126,2009,10.1111/j.1530-9290.2009.00109.x,https://doi.org/10.1111/j.1530-9290.2009.00109.x,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",38
"Harper, E.M., and Graedel, T.E.","Illuminating tungsten's life cycle in the United States - 1975-2000","Environ. Sci. Technol.",42,NULL,3835-3842,2008,10.1021/es070646s,https://doi.org/10.1021/es070646s,NULL,NULL,1,"2019-02-04 14:46:57","2019-02-04 14:46:57",39
